,admin_region,admin_city,total(m^2),city(m^2),no_city(m^2),address_compo_short_name,formatted_addres_name,geo_location_lat,geo_location_lng,viewport_north_lat,viewport_north_lng,viewport_south_lat,viewport_south_lng,bounds_north_lat,bounds_north_lng,bounds_south_lat,bounds_south_lng,area,population,classification
0,전국,전국,1.00E+11,25825757496,74537957375,,,,,,,,,,,,,,,
1,서울특별시,서울특별시,605242800,605242800,,Seoul,Seoul,37.566535,126.9779692,37.6956,127.1823,37.4346,126.7968,37.7017495,127.1835899,37.4259627,126.7645827,수도권,9741381,Metropolitan City
2,부산광역시,부산광역시,770035669,680329399,89706270,Busan,Busan,35.1795543,129.0756416,35.2847,129.1884,35.0442,128.9552,35.3874414,129.3344242,34.8531186,128.7531524,영남권,3416918,Metropolitan City
3,대구광역시,대구광역시,883603108,565157210,318445898,Daegu,Daegu,35.8714354,128.601445,35.9643,128.6577,35.7952,128.4757,36.0172827,128.7632175,35.6071707,128.3497208,영남권,2453041,Metropolitan City
4,인천광역시,인천광역시,1063115331,503752489,559362842,Incheon,Incheon,37.4562557,126.7052062,37.57,126.7521,37.3591,126.5966,38.0026676,126.7936272,37.0028079,124.5981092,수도권,2925967,Metropolitan City
5,광주광역시,광주광역시,501181188,501181188,,Gwangju,Gwangju,35.1595454,126.8526012,35.2415,126.9348,35.1119,126.7528,35.2589426,127.0229413,35.0508149,126.6449035,호남권,1496172,Metropolitan City
6,대전광역시,대전광역시,539464180,539464180,,Daejeon,Daejeon,36.3504119,127.3845475,36.4563,127.4643,36.2899,127.3133,36.4999476,127.5590436,36.1833708,127.2464501,충청권,1525849,Metropolitan City
7,울산광역시,울산광역시,1061177047,553644016,507533031,Ulsan,Ulsan,35.5383773,129.3113596,35.6573,129.453,35.4668,129.25,35.7252482,129.4977041,35.3030728,128.9756829,영남권,1157077,Metropolitan City
8,세종특별자치시,세종특별자치시,464893067,42233103,422659964,Namsejong-ro,Sejong,36.4800984,127.2890354,36.48144738,127.2903844,36.47874942,127.2876864,,,,,충청권,276589,City
9,경기도,수원시,121054375,121054375,,Gyeonggi-do,Suwon,37.2635727,127.0286009,37.3178,127.0887,37.2398,126.963,37.353075,127.0904507,37.2245524,126.9254886,수도권,1216996,City
10,경기도,성남시,141659163,141659163,,Gyeonggi-do,Seongnam,37.4449168,127.1388684,37.4654,127.1796,37.3351,127.1023,37.4756297,127.1974457,37.3330741,127.0235872,수도권,944297,City
11,경기도,고양시,268059218,268059218,,Gyeonggi-do,Goyang,37.6583599,126.8320201,37.7008,126.8534,37.6111,126.7422,37.750353,126.9933708,37.5746095,126.6699673,수도권,1005102,City
12,경기도,용인시,591350941,349144180,242206761,Gyeonggi-do,Yongin,37.2410864,127.1775537,37.3375,127.2263,37.2304,127.0663,37.3719913,127.4270873,37.0830073,127.0159523,수도권,996250,City
13,경기도,부천시,53442446,53442446,,Gyeonggi-do,Bucheon,37.5034138,126.7660309,37.5339,126.8243,37.467,126.7457,37.5542723,126.8339469,37.4583851,126.7411623,수도권,845514,City
14,경기도,안산시,155198095,155198095,,Gyeonggi-do,Ansan,37.3218778,126.8308848,37.358,126.8792,37.2823,126.7249,37.3771543,126.9397483,37.0626518,126.333561,수도권,733661,City
15,경기도,안양시,58497532,58497532,,Gyeonggi-do,Anyang,37.3942527,126.9568209,37.4258,126.9793,37.3513,126.8948,37.4499668,126.9829804,37.361394,126.8706562,수도권,576697,City
16,경기도,남양주시,458070891,309231894,148838997,Gyeonggi-do,Namyangju,37.6360028,127.2165279,37.6646,127.2612,37.5978,127.1483,37.7799923,127.3795048,37.5087672,127.0803089,수도권,644936,City
17,경기도,화성시,693952248,272259887,421692361,Gyeonggi-do,Hwaseong,37.1994932,126.8311887,37.2167,126.8396,37.1736,126.7826,37.3261686,127.1612785,37.0086926,126.4882544,수도권,708569,City
18,경기도,평택시,458076120,280452597,177623523,Gyeonggi-do,Pyeongtaek,36.9921075,127.1129451,37.0055,127.1225,36.9841,127.0745,37.1448626,127.1541478,36.8993825,126.7530107,수도권,486077,City
19,경기도,의정부시,81539418,81539418,,Gyeonggi-do,Uijeongbu,37.738098,127.0336819,37.7656,127.1011,37.6995,127.0247,37.7786637,127.1501039,37.6860505,126.9985864,수도권,426530,City
20,경기도,시흥시,137607939,137607939,,Gyeonggi-do,Siheung,37.3798877,126.8031025,37.4539,126.815,37.3084,126.6885,37.4724313,126.8814519,37.2960852,126.6608891,수도권,446369,City
21,경기도,파주시,673115033,258230607,414884426,Gyeonggi-do,Paju,37.7598688,126.7801781,37.7751,126.787,37.7479,126.7652,38.0111484,127.0170727,37.6882757,126.6479062,수도권,430650,City
22,경기도,광명시,38520232,38520232,,Gyeonggi-do,Gwangmyeong,37.4784878,126.8642888,37.497,126.8944,37.4468,126.8388,37.4955574,126.9000684,37.4014114,126.8255817,수도권,328253,City
23,경기도,김포시,276600491,127054282,149546209,Gyeonggi-do,Gimpo,37.6152464,126.7156325,37.6329,126.7328,37.5945,126.696,37.8029349,126.80219,37.5785852,126.5145827,수도권,392438,City
24,경기도,군포시,36415885,36415885,,Gyeonggi-do,Gunpo,37.3616703,126.9351741,37.3778,126.9493,37.3411,126.9162,37.3786678,126.9623563,37.3047018,126.8694862,수도권,280913,City
25,경기도,광주시,431016915,235851817,195165098,Gyeonggi-do,Gwangju,37.4171413,127.2561413,37.423,127.2669,37.3851,127.2276,37.5357952,127.4470557,37.2645835,127.1315857,수도권,341046,City
26,경기도,이천시,461426221,142181868,319244353,Gyeonggi-do,Icheon,37.2719952,127.4348221,37.2961,127.4636,37.2653,127.4318,37.361879,127.6377929,37.0411185,127.3290354,수도권,218798,City
27,경기도,양주시,310315259,127234825,183080434,Gyeonggi-do,Yangju,37.7852875,127.0458453,37.8485,127.1084,37.7686,127.0388,37.9417684,127.1226295,37.6688152,126.900375,수도권,212631,City
28,경기도,오산시,42726512,42726512,,Gyeonggi-do,Osan,37.1498096,127.0772212,37.1773,127.0904,37.1259,127.0516,37.2009471,127.1027993,37.1253666,126.9948577,수도권,219877,City
29,경기도,구리시,33311789,33311789,,Gyeonggi-do,Guri,37.5943124,127.1295646,37.6175,127.1562,37.5839,127.1278,37.6459749,127.1694995,37.5578761,127.0981797,수도권,189741,City
30,경기도,안성시,553397808,56897719,496500089,Gyeonggi-do,Anseong,37.0079695,127.2796786,37.0219,127.2808,37.0006,127.244,37.1562804,127.5163558,36.8939686,127.1015954,수도권,198832,City
31,경기도,포천시,826648999,81544386,745104613,Gyeonggi-do,Pocheon,37.8949148,127.2003551,37.9064,127.2119,37.888,127.1909,38.1929624,127.4447606,37.7461117,127.0876872,수도권,161239,City
32,경기도,의왕시,53986775,53986775,,Gyeonggi-do,Uiwang,37.344701,126.9683104,37.4036,127.002,37.312,126.9472,37.4155047,127.0449544,37.3002165,126.9290251,수도권,151852,City
33,경기도,하남시,93006863,93006863,,Gyeonggi-do,Hanam,37.5392646,127.2148919,37.5586,127.2294,37.5301,127.1923,37.5898498,127.2857552,37.4685502,127.1392989,수도권,218994,City
34,경기도,여주시,608336502,148685786,459650716,Gyeonggi-do,Yeoju,37.2980237,127.6371628,37.4431517,127.7690409,37.1343241,127.3944513,37.4431517,127.7690409,37.1343241,127.3944513,수도권,111476,City
35,경기도,양평군,877693097,42215478,835477619,Gyeonggi-do,Yangpyeong,37.4912195,127.4875607,37.6656783,127.8582526,37.366465,127.3042164,37.6656783,127.8582526,37.366465,127.3042164,수도권,109359,Town
36,경기도,동두천시,95658808,95658808,,Gyeonggi-do,Dongducheon,37.9034112,127.0605075,37.9361,127.0707,37.878,127.0436,37.9799387,127.1581557,37.8604079,127.0051158,수도권,97373,City
37,경기도,과천시,35868073,35868073,,Gyeonggi-do,Gwacheon,37.429246,126.9874451,37.4516,127.0238,37.4159,126.9766,37.4684248,127.0440002,37.4006563,126.9564623,수도권,53853,City
38,경기도,가평군,843724879,145080298,698644581,Gyeonggi-do,Gapyeong,37.8315403,127.5098827,38.0567851,127.620543,37.573401,127.2665393,38.0567851,127.620543,37.573401,127.2665393,수도권,59548,Town
39,경기도,연천군,676312014,143080470,533231544,Gyeonggi-do,Yeoncheon,38.0964438,127.0748335,38.302671,127.1892671,37.9277224,126.7666661,38.302671,127.1892671,37.9277224,126.7666661,수도권,43990,Town
40,강원도,춘천시,1116403402,110447884,1005955518,Gangwon-do,Chuncheon,37.8813153,127.7299707,37.8954,127.7575,37.8422,127.7072,38.0924146,128.0277134,37.67501,127.506128,강원권,283742,City
41,강원도,원주시,868269598,188995531,679274067,Gangwon-do,Wonju,37.3422186,127.9201621,37.3894,127.968,37.3106,127.9132,37.5022224,128.218881,37.1437419,127.7439802,강원권,341338,City
42,강원도,강릉시,1040709436,137035554,903673882,Gangwon-do,Gangneung,37.751853,128.8760574,37.7917,128.9286,37.7357,128.8714,37.9975611,129.1476733,37.5027247,128.5863625,강원권,215914,City
43,강원도,동해시,180206138,180206138,,Gangwon-do,Donghae,37.5247192,129.1142915,37.5643,129.1688,37.4671,129.0874,37.6527905,129.2476675,37.4327686,128.9642088,강원권,89151,City
44,강원도,태백시,303495317,303495317,,Gangwon-do,Taebaek,37.1640654,128.9855649,37.1814,128.9974,37.1443,128.9694,37.3555851,129.0945409,37.06272,128.8663941,강원권,44733,City
45,강원도,속초시,105735518,105735518,,Gangwon-do,Sokcho,38.2070148,128.5918489,38.2276,128.6098,38.1817,128.5674,38.3027014,128.6977007,38.1323289,128.410479,강원권,78618,City
46,강원도,삼척시,1186955786,394782599,792173187,Gangwon-do,Samcheok,37.4498683,129.1652059,37.458,129.1812,37.4291,129.1473,37.5307664,129.4476592,37.0471289,128.8453146,강원권,67860,City
47,강원도,홍천군,1820278031,107389773,1712888258,Gangwon-do,Hongcheon,37.6969518,127.8886827,37.9466406,128.601494,37.5494075,127.5348979,37.9466406,128.601494,37.5494075,127.5348979,강원권,67168,Town
48,강원도,횡성군,998098360,72421406,925676954,Gangwon-do,Hoengseong,37.4917566,127.9849295,37.6822651,128.3049419,37.2962067,127.7571716,37.6822651,128.3049419,37.2962067,127.7571716,강원권,43211,Town
49,강원도,영월군,1127635482,312214647,815420835,Gangwon-do,Yeongwol,37.183637,128.4617535,37.4001862,128.9065572,37.0303905,128.1080333,37.4001862,128.9065572,37.0303905,128.1080333,강원권,36934,Town
50,강원도,평창군,1463894643,161258153,1302636490,Gangwon-do,Pyeongchang,37.370474,128.3899769,37.8141541,128.7636429,37.272891,128.2443141,37.8141541,128.7636429,37.272891,128.2443141,강원권,40264,Town
51,강원도,정선군,1219774519,433080959,786693560,Gangwon-do,Jeongseon,37.3807549,128.6609505,37.5940461,128.9868456,37.1436317,128.5097071,37.5940461,128.9868456,37.1436317,128.5097071,강원권,36002,Town
52,강원도,철원군,889473417,486716041,402757376,Gangwon-do,Cheorwon,38.146609,127.3132256,38.4026737,127.8977731,38.0915111,127.0478551,38.4026737,127.8977731,38.0915111,127.0478551,강원권,44770,Town
53,강원도,화천군,908922134,291728013,617194121,Gangwon-do,Hwacheon,38.1056484,127.7080492,38.2858442,127.9110065,37.9920211,127.4211555,38.2858442,127.9110065,37.9920211,127.4211555,강원권,24625,Town
54,강원도,양구군,661814926,173723758,488091168,Gangwon-do,Yanggu,38.1100701,127.9898825,38.4026781,128.1798379,38.0003352,127.8506046,38.4026781,128.1798379,38.0003352,127.8506046,강원권,22355,Town
55,강원도,인제군,1645179452,315197609,1329981843,Gangwon-do,Inje,38.0694675,128.1706991,38.4526723,128.5122457,37.8051493,127.977111,38.4526723,128.5122457,37.8051493,127.977111,강원권,30524,Town
56,강원도,양양군,630095218,32420243,597674975,Gangwon-do,Yangyang,38.0753925,128.6188503,38.2027146,128.8976866,37.8670249,128.3908852,38.2027146,128.8976866,37.8670249,128.3908852,강원권,25556,Town
57,충청북도,청주시,940801577,329757360,611044217,Chungcheongbuk-do,Cheongju,36.6424341,127.4890319,36.6729,127.5205,36.6054,127.4189,36.7229862,127.5576296,36.5806943,127.3656841,충청권,842311,City
58,충청북도,충주시,983525195,145743268,837781927,Chungcheongbuk-do,Chungju,36.9910113,127.9259497,37.0196,127.9513,36.952,127.9034,37.2141801,128.1272101,36.7995969,127.6509049,충청권,212274,City
59,충청북도,제천시,883397741,239292715,644105026,Chungcheongbuk-do,Jecheon,37.1325821,128.1909481,37.1693,128.2387,37.117,128.1645,37.2626702,128.3339005,36.8204863,127.9191524,충청권,136929,City
60,충청북도,보은군,584221931,62272560,521949371,Chungcheongbuk-do,Boeun,36.4894573,127.7294827,36.6161095,127.9107815,36.3682164,127.5145363,36.6161095,127.9107815,36.3682164,127.5145363,충청권,32253,Town
61,충청북도,옥천군,537170225,47569651,489600574,Chungcheongbuk-do,Okcheon,36.3063646,127.5712809,36.4450972,127.8921685,36.171498,127.4855795,36.4450972,127.8921685,36.171498,127.4855795,충청권,49898,Town
62,충청북도,영동군,845960442,100622422,745338020,Chungcheongbuk-do,Yeongdong,36.1750231,127.7834302,36.3178668,128.0592785,36.0121372,127.5889798,36.3178668,128.0592785,36.0121372,127.5889798,충청권,49034,Town
63,충청북도,진천군,407251212,70555379,336695833,Chungcheongbuk-do,Jincheon,36.8553798,127.4361117,37.0115267,127.5854022,36.7488651,127.2883427,37.0115267,127.5854022,36.7488651,127.2883427,충청권,79186,Town
64,충청북도,괴산군,842157982,49606523,792551459,Chungcheongbuk-do,Goesan,36.815669,127.7865791,36.9467874,128.0665889,36.6072591,127.6205668,36.9467874,128.0665889,36.6072591,127.6205668,충청권,38579,Town
65,충청북도,음성군,520233402,157717832,362515570,Chungcheongbuk-do,Eumseong,36.9396792,127.6905018,37.1552262,127.7985012,36.8337587,127.4448808,37.1552262,127.7985012,36.8337587,127.4448808,충청권,104509,Town
66,충청북도,단양군,781147472,141701144,639446328,Chungcheongbuk-do,Danyang,36.9845473,128.3655186,37.1587553,128.6577072,36.8010244,128.216246,37.1587553,128.6577072,36.8010244,128.216246,충청권,28411,Town
67,충청북도,증평군,81802190,55379453,26422737,Chungcheongbuk-do,Jeungpyeong,36.7855019,127.5816556,36.860566,127.6659987,36.7027133,127.5393076,36.860566,127.6659987,36.7027133,127.5393076,충청권,37625,Town
68,충청남도,천안시,636078527,265701610,370376917,Chungcheongnam-do,Cheonan,36.815129,127.1138939,36.9733765,127.4204848,36.6205419,127.0097552,36.9733765,127.4204848,36.6205419,127.0097552,충청권,656294,City
69,충청남도,공주시,864209646,192619860,671589786,Chungcheongnam-do,Gongju,36.4465346,127.1191534,36.4822,127.1534,36.4357,127.1145,36.6812317,127.2912261,36.2770651,126.8848832,충청권,111017,City
70,충청남도,보령시,573896410,113257922,460638488,Chungcheongnam-do,Boryeong,36.3331629,126.6129441,36.3663,126.6218,36.3311,126.5838,36.5274473,126.7372095,36.1529128,125.9480213,충청권,100922,City
71,충청남도,아산시,542623901,134058001,408565900,Chungcheongnam-do,Asan,36.789796,127.0018494,36.7967,127.0273,36.766,126.9836,36.9426584,127.1202381,36.6492872,126.8282988,충청권,338473,City
72,충청남도,서산시,741304975,162078643,579226332,Chungcheongnam-do,Seosan,36.7844993,126.4503169,36.795,126.4702,36.7648,126.4412,37.0572003,126.6539923,36.6028644,126.2999902,충청권,171364,City
73,충청남도,논산시,555178610,84464926,470713684,Chungcheongnam-do,Nonsan,36.1870656,127.0987453,36.2137,127.115,36.1778,127.0729,36.3405017,127.3340572,36.0626229,126.9834079,충청권,123774,City
74,충청남도,계룡시,60721047,2885365,57835682,Chungcheongnam-do,Gyeryong,36.2745577,127.2485896,36.2912,127.282,36.2542,127.2312,36.3527553,127.2918501,36.2318865,127.1932769,충청권,41858,City
75,충청남도,당진시,704435299,183347751,521087548,Chungcheongnam-do,Dangjin,36.8936109,126.6283278,37.0940358,126.8587922,36.7490273,126.3479613,37.0940358,126.8587922,36.7490273,126.3479613,충청권,168508,City
76,충청남도,금산군,577206740,21832133,555374607,Chungcheongnam-do,Geumsan,36.1086928,127.4880712,36.2726393,127.6396353,35.9806573,127.3174583,36.2726393,127.6396353,35.9806573,127.3174583,충청권,55672,Town
77,충청남도,부여군,624534704,59266434,565268270,Chungcheongnam-do,Buyeo,36.2754406,126.910178,36.3868783,127.0702289,36.0704801,126.681533,36.3868783,127.0702289,36.0704801,126.681533,충청권,67028,Town
78,충청남도,서천군,365705778,46550981,319154797,Chungcheongnam-do,Seocheon,36.0803312,126.6913277,36.2029165,126.8711738,35.9839683,126.4479744,36.2029165,126.8711738,35.9839683,126.4479744,충청권,53321,Town
79,충청남도,청양군,479114992,36156920,442958072,Chungcheongnam-do,Cheongyang,36.4588326,126.8022116,36.5716709,127.0282972,36.3139422,126.6700213,36.5716709,127.0282972,36.3139422,126.6700213,충청권,31299,Town
80,충청남도,홍성군,442873860,110218421,332655439,Chungcheongnam-do,Hongseong,36.60123,126.6607764,36.6728031,126.7730445,36.4579863,126.4062955,36.6728031,126.7730445,36.4579863,126.4062955,충청권,103048,Town
